Postcode,FuelCode,Price
2290,P98,183.9
2566,E10,196.9
2289,E10,163.9
2161,E10,187.5
2210,E10,173.9
2322,E10,168.9
2259,E10,179.5
2259,E10,168.9
2322,E10,168.9
2304,E10,167.9
2327,E10,169.9
2250,E10,162.9
2325,E10,165.5
2170,E10,177.9
2258,E10,164.9
2326,E10,169.9
2609,E10,171.9
2565,E10,187.7
2444,E10,172.9
2541,E10,175.5
2565,DL,171.9
2044,U91,166.8
2358,U91,175.5
2040,E10,159.6
2171,E10,184.9
2113,U91,172.9
2567,U91,205.9
2221,E10,187.9
2132,P98,210.5
2322,PDL,180.9
2527,E10,166.9
2760,P98,210.5
2217,E10,179.9
2850,PDL,215.9
2212,U91,166.9
2020,PDL,192.9
2025,PDL,201.9
2830,PDL,201.9
2179,E10,169.9
2913,PDL,199.9
2324,DL,177.9
2830,PDL,201.9
2627,PDL,201.9
2577,E10,175.5
2846,U91,179.9
2259,U91,174.7
2223,E10,175.9
2160,E10,184.9
2145,E10,169.5
2146,E10,169.9
2040,E10,167.7
2150,U91,184.9
2206,U91,179.5
2199,P95,198.5
2148,U91,169.9
2541,U91,177.5
2321,P95,190.9
2171,E10,169.9
2705,U91,182.9
2566,E10,196.9
2776,U91,175.9
2790,E10,174.9
2620,U91,190
2441,U91,176.9
2485,E10,205.9
2161,E10,184.9
2441,P95,189.9
2537,U91,189.9
2617,PDL,198.9
2200,P95,198.5
2290,P98,185.9
2758,U91,189.9
2800,E10,179.7
2350,E10,183.9
2290,U91,165.9
2500,PDL,173.9
2306,E10,163.5
2566,E10,196.9
2210,U91,171.7
2484,U91,179
2107,E10,199.9
2031,PDL,189.9
2210,P95,183.7
2325,DL,168.5
2258,LPG,99.9
2528,E10,165.9
2133,PDL,175.9
2199,PDL,173.9
2500,U91,189.9
2580,E10,177.9
2198,U91,168.9
2871,DL,179.9
2880,U91,189.9
2620,U91,189.9
2145,E10,169.9
2020,E10,175.5
2527,E10,165.9
2519,P95,218.9
2505,PDL,199.9
2500,P98,219.9
2650,U91,172.7
2795,E10,167.9
2650,E10,172.7
2259,DL,175.5
2500,PDL,173.9
2259,E10,179.5
2032,PDL,189.9
2192,E10,169.9
2198,PDL,173.9
2259,E10,171.9
2162,E10,182.9
2026,E10,203.9
2203,E10,179.5
2093,E10,207.9
2336,E10,172.9
2177,U91,207.9
2153,E10,172.9
2216,E10,180.9
2049,E10,179.7
2020,PDL,195.9
2478,PDL,191.9
2765,E10,189.7
2210,E10,173.7
2380,PDL,183.9
2142,DL,169.7
2570,E10,176.9
2579,PDL,175.9
2259,E10,179.5
2460,E10,181.9
2710,U91,181.9
2326,E10,169.9
2500,U91,205.9
2144,DL,179.9
2033,PDL,189.9
2033,PDL,189.9
2199,E10,205.9
2749,PDL,181.9
2460,DL,184.9
2197,E10,175.7
2370,E10,179.9
2206,E10,165.5
2210,E10,173.7
2319,E10,173.9
2350,U91,185.9
2650,E10,176.9
2800,E10,180.9
2216,E10,179.9
2176,U91,207.9
2327,E10,175.9
2370,E10,179.9
2221,E10,179.7
2018,U91,179.7
2767,E10,176.8
2322,E10,169.9
2217,E10,177.9
2486,E10,169.9
2370,E10,179.9
2148,E10,189.9
2370,U91,182.9
2066,U91,201.9
2325,DL,165.5
2328,U91,179.9
2166,PDL,175.9
2141,DL,180.9
2190,E10,205.9
2571,E10,197.9
2007,E10,205.9
2322,E10,169.9
2142,PDL,179.9
2142,PDL,179.9
2145,U91,169.9
2567,E10,205.9
2190,E10,205.9
2485,DL,190.9
2168,E10,205.9
2206,E10,179.5
2486,E10,172.9
2283,U91,186.8
2018,U91,177.4
2118,E10,197.9
2409,DL,181.9
2354,U91,185.9
2142,PDL,169.9
2340,DL,178.9
2136,P98,188.9
2228,E10,187.9
2502,E10,203.9
2530,E10,203.9
2529,E10,203.9
2130,E10,179.9
2162,E10,183.9
2756,E10,197.9
2529,U91,201.9
2530,U91,201.9
2527,P98,221.9
2527,U91,201.9
2526,U91,201.9
2528,P95,213.9
2179,E10,207.9
2212,U91,207.9
2527,U91,201.9
2528,U91,201.9
2256,E10,203.9
2516,E10,203.9
2260,E10,203.9
2164,DL,175.9
2257,E10,203.9
2166,E10,205.9
2217,E10,181.9
2609,U91,189.9
2849,DL,195.9
2093,E10,205.9
2760,E10,205.9
2652,U91,179.9
2099,E10,197.9
2099,E10,197.9
2338,DL,177.9
2304,DL,168.5
2143,E10,166.9
2750,PDL,188.9
2103,PDL,185.9
2087,E10,205.9
2155,PDL,192.9
2290,E10,197.9
2579,E10,189.9
2280,PDL,187.9
2114,PDL,187.9
2250,PDL,182.9
2320,PDL,189.9
2029,PDL,201.9
2609,E10,171.7
2324,DL,181.9
2287,E10,203.9
2292,E10,203.9
2287,E10,203.9
2170,U91,207.9
2212,P98,227.9
2170,U91,207.9
2485,PDL,193.9
2579,E10,189.9
2212,U91,207.9
2297,DL,176.9
2870,PDL,192.9
2800,PDL,191.9
2800,PDL,191.9
2170,PDL,175.9
2131,P98,227.9
2166,U91,207.9
2136,U91,207.9
2256,U91,205.9
2133,U91,207.9
2148,U91,207.9
2770,U91,207.9
2760,U91,207.9
2756,U91,207.9
2112,LPG,106.9
2114,U91,207.9
2291,E10,203.9
2353,DL,182.9
2350,PDL,185.9
2340,PDL,183.9
2148,E10,199.5
2306,E10,205.9
2325,DL,165.5
2500,PDL,173.9
2148,E10,169.9
2652,DL,184.9
2478,DL,199.9
2529,E10,199.9
2287,E10,203.9
2632,U91,187.9
2517,E10,203.9
2128,E10,172.9
2850,P98,212.9
2263,PDL,177.5
2530,E10,199.9
2530,E10,199.9
2527,E10,199.9
2170,E10,184.9
2825,E10,177.7
2166,P98,229.9
2132,U91,207.9
2190,P98,223.9
2179,P98,229.9
2166,P98,229.9
2178,E10,205.9
2212,P95,222.9
2450,U91,175.9
2799,U91,183.9
2164,DL,173.9
2449,U91,187
2290,U91,207.9
2653,P98,202.9
2118,PDL,192.9
2136,P98,229.9
2132,P98,225.9
2039,P98,195.9
2179,P98,229.9
2303,E10,203.9
2302,E10,203.9
2194,E10,165.9
2302,P98,228.9
2567,E10,205.9
2641,DL,185.9
2849,U91,176.9
2756,E10,163.9
2322,DL,168.4
2136,U91,207.9
2166,P98,228.9
2450,U91,177.9
2190,E10,205.9
2196,E10,205.9
2370,E10,179.9
2064,PDL,187.9
2871,DL,191.9
2147,E10,201.9
2217,E10,180.9
2120,PDL,187.9
2200,PDL,184.9
2912,U91,190
2229,PDL,196.9
2191,E10,195.9
2214,P98,229.9
2782,P95,217.9
2170,PDL,184.9
2296,E10,166.6
2134,E10,206
2148,E10,205.9
2810,E10,184.9
2131,E10,169.9
2179,P95,224.9
2558,PDL,187.9
2148,E10,195.5
2756,E10,205.9
2148,E10,199.5
2525,E10,172.9
2147,E10,201.9
2577,E10,179.6
2066,E10,197.9
2567,PDL,177.7
2114,E10,194.7
2196,E10,169.7
2483,DL,189.9
2190,PDL,182.9
2480,PDL,203.9
2480,PDL,203.9
2640,PDL,193.9
2537,PDL,182.9
2127,PDL,185.9
2074,PDL,182.9
2800,PDL,191.9
2576,PDL,184.9
2518,PDL,185.9
2171,PDL,182.9
2142,PDL,179.9
2750,PDL,185.9
2870,PDL,192.9
2527,PDL,181.9
2765,PDL,181.9
2101,PDL,183.9
2197,PDL,175.9
2745,PDL,186.9
2170,PDL,177.9
2602,PDL,199.9
2557,PDL,174.9
2128,PDL,181.9
2324,E10,197.9
2541,E10,172.9
2485,DL,191.9
2110,U91,169.9
2795,E10,172.9
2577,E10,189.9
2577,E10,189.9
2164,DL,175.9
2750,DL,187.9
2700,E10,177.9
2047,E10,169.9
2324,E10,172.9
2322,E10,171.9
2114,DL,187.9
2317,U91,173.9
2066,DL,186.9
2324,E10,175.9
2257,DL,194.9
2333,E10,173.9
2320,E10,174.9
2320,E10,175.9
2322,E10,170.9
2315,E10,175.9
2304,U91,172.9
2250,E10,173.9
2290,E10,174.9
2280,E10,170.9
2320,U91,199.9
2282,E10,197.9
2330,U91,199.9
2250,E10,197.9
2258,E10,170.9
2173,DL,184.9
2800,DL,190.9
2164,DL,176.9
2541,P98,197.9
2047,E10,169.9
