Postcode,Total,Passenger Vehicles,Off-road Vechicles,People movers,Small Buses,Mobile Homes,Motorcycles,Scooters,Light Trucks,Light Plants,Light Trailers,Other Vehicles,All Light,Buses,Heavy Trucks,Prime Movers,Heavy Plants,Heavy Trailers,All Heavy
2000,20566,11879,4207,217,97,28,584,85,2643,3,556,3,20302,54,159,8,17,26,264
2006,148,20,60,0,4,0,0,0,27,3,30,0,144,0,4,0,0,0,4
2007,2892,1756,521,37,11,10,176,17,287,5,49,0,2869,7,13,0,2,1,23
2008,3333,2010,554,35,25,10,219,42,261,1,154,0,3311,7,13,1,0,1,22
2009,6819,4364,1273,39,16,11,379,53,496,0,140,0,6771,7,37,0,0,4,48
2010,11384,7325,2047,75,34,24,781,143,712,1,208,0,11350,8,21,1,1,3,34
2011,9902,6883,1833,37,13,6,476,121,372,1,153,0,9895,1,6,0,0,0,7
2015,11718,5895,2074,67,25,5,972,63,2012,0,254,0,11367,42,249,12,1,47,351
2016,6066,3568,1164,44,85,10,401,84,448,0,216,0,6020,6,39,0,1,0,46
2017,13732,8568,2581,80,26,12,1067,85,962,1,185,0,13567,9,142,4,3,7,165
2018,10984,6694,2192,113,11,18,586,57,884,0,321,0,10876,14,90,2,0,2,108
2019,13613,5736,2833,101,47,47,502,47,2396,2,674,0,12385,205,436,178,8,401,1228
2020,27527,17435,5709,159,139,21,678,42,2545,3,354,0,27085,21,240,57,3,121,442
2021,8421,5537,1693,33,8,14,399,101,400,5,218,0,8408,1,12,0,0,0,13
2022,7698,4487,1653,71,15,7,454,87,563,1,201,0,7539,111,46,0,0,2,159
2023,6560,4411,1282,40,14,4,299,67,276,0,150,0,6543,2,7,3,0,5,17
2024,6669,3637,1671,52,14,8,490,116,434,0,231,0,6653,5,10,0,0,1,16
2025,4322,2995,804,19,10,2,153,53,176,0,99,0,4311,6,3,0,2,0,11
2026,18568,9992,4290,171,43,26,1847,425,1278,0,463,0,18535,1,29,2,0,1,33
2027,5128,3677,847,21,3,5,202,45,210,0,110,0,5120,0,6,0,1,1,8
2028,3271,2177,612,6,9,2,116,15,203,0,104,0,3244,0,25,1,0,1,27
2029,6350,4085,1254,48,8,7,341,59,353,0,187,0,6342,2,6,0,0,0,8
2030,10290,6593,2110,57,6,4,506,82,548,0,367,0,10273,1,15,0,0,1,17
2031,18797,11318,4004,136,34,22,1105,233,1248,0,535,0,18635,88,71,2,1,0,162
2032,7240,4398,1560,100,12,10,362,41,487,0,230,0,7200,5,29,2,1,3,40
2033,5722,3622,1146,60,14,8,280,51,341,0,176,0,5698,1,7,4,0,12,24
2034,11984,7093,2617,88,16,16,810,170,780,1,364,0,11955,2,24,1,1,1,29
2035,21469,12173,4934,260,41,54,1242,180,1603,1,897,0,21385,2,79,1,1,1,84
