Postcode,Dwelling Type,Bedrooms,Weekly Rent
2460,H,3,0
2460,H,3,0
2026,O,0,30
2029,O,0,30
2753,O,0,40
2028,F,3,42
2008,O,1,45
2800,H,2,48
2000,O,0,50
2008,O,1,50
2060,O,0,50
2145,H,5,50
2050,O,0,60
2150,O,0,60
2194,O,U,60
2000,O,U,65
2048,O,0,65
2440,F,1,66
2800,H,2,66
2017,F,U,70
2026,O,0,70
2142,F,1,70
2145,O,1,70
2250,F,2,70
2250,H,3,70
2280,F,1,70
2305,F,2,70
2323,F,1,70
2450,F,1,70
2653,O,U,70
2747,F,U,70
2850,F,2,70
2161,F,2,72
2250,F,1,72
2440,F,2,74
2022,O,0,75
2026,O,1,75
2026,O,1,75
2040,F,1,76
2261,F,1,76
2280,F,1,76
2258,F,3,77
2800,O,0,77
2026,O,1,80
2192,O,0,80
2557,O,U,80
2835,H,4,90
2000,O,0,92
2835,H,4,95
2026,O,0,100
2223,H,1,100
2770,F,2,103
2371,H,4,108
2177,T,3,110
2356,H,2,110
2409,H,1,110
2645,F,1,110
2779,O,U,110
2303,O,1,115
2307,T,1,117
2444,F,1,117
2307,T,1,120
2307,T,1,120
2444,U,1,120
2323,F,1,122
2142,U,U,124
2145,F,1,124
2168,F,U,124
2450,F,1,125
2594,F,1,125
2444,F,2,127
2010,U,1,129
2099,F,U,129
2195,U,U,129
2250,F,U,129
2250,H,2,129
2257,H,2,129
2767,H,3,129
2250,O,1,130
2365,F,1,130
2444,F,1,132
2500,F,U,133
2000,F,2,134
2017,F,U,134
2115,F,1,134
2141,F,1,134
2141,U,1,134
2142,F,1,134
2142,F,U,134
2142,F,U,134
2147,F,1,134
2147,F,U,134
2150,O,1,134
2150,U,1,134
2168,F,U,134
2168,O,U,134
2199,U,1,134
2213,F,2,134
2440,H,2,134
2650,F,2,134
2680,F,1,134
2037,F,0,135
2142,F,U,135
2303,O,1,135
2665,F,2,135
2440,F,1,139
2017,F,1,140
2163,F,1,140
2289,U,U,140
2444,F,1,140
2760,H,1,140
2823,F,1,140
2166,T,1,145
2256,F,1,145
2287,O,1,145
2409,F,2,145
2450,F,1,146
2256,O,1,147
2147,F,1,150
2287,O,4,150
2292,H,0,150
2299,O,1,150
2299,O,1,150
2323,F,1,150
2388,F,2,150
2388,O,U,150
2713,F,2,150
2720,F,1,150
2850,O,5,150
2850,O,5,150
2250,O,1,154
2287,F,1,154
2036,F,2,155
2287,O,1,155
2299,O,1,155
2711,F,2,155
2713,T,2,155
2836,T,2,155
2880,F,1,158
2880,F,1,158
2880,U,1,158
2299,O,1,160
2400,F,2,160
2733,F,2,160
2804,F,1,160
2840,F,1,160
2287,O,1,165
2287,O,1,165
2350,O,U,165
2486,H,2,166
2147,U,1,169
2287,O,1,170
2292,F,1,170
2298,H,6,170
2298,H,6,170
2340,F,1,170
2350,F,1,170
2357,H,U,170
2400,F,2,170
2502,O,1,170
2643,H,1,170
2705,U,1,170
2710,H,2,170
2710,O,1,170
2710,O,1,170
2710,O,1,170
2713,H,3,170
2713,H,4,170
2713,H,4,170
2800,F,1,170
2800,H,1,170
2840,F,1,170
2880,F,1,170
2039,O,0,173
2835,H,3,173
2835,H,3,173
2250,F,2,175
2257,H,1,175
2293,H,1,175
2304,H,1,175
2304,H,1,175
2340,F,1,175
2567,H,4,175
2880,F,1,175
2077,O,U,180
2261,F,2,180
2297,O,1,180
2298,H,1,180
2298,O,1,180
2298,O,1,180
2299,F,1,180
2299,H,4,180
2299,O,1,180
2340,F,U,180
2347,U,2,180
2361,T,1,180
2404,F,1,180
2500,O,1,180
2517,H,2,180
2528,H,1,180
2710,F,2,180
2711,F,2,180
2712,F,2,180
2794,F,1,180
2835,F,1,180
2835,F,1,180
2844,F,1,180
2850,O,5,180
2850,O,5,180
2880,F,1,180
2880,F,1,180
2037,F,1,181
2263,F,1,183
2299,H,1,185
2370,F,1,185
2650,H,3,185
2656,F,1,185
2710,F,2,185
2257,F,2,187
2526,F,1,187
2710,H,2,187
2880,F,1,188
2077,H,1,190
2120,O,1,190
2142,U,1,190
2142,U,1,190
2166,O,1,190
2261,T,2,190
2298,O,1,190
2340,F,2,190
2380,F,2,190
2640,F,1,190
2733,F,2,190
2829,F,1,190
2835,T,2,190
2880,F,2,190
2099,U,1,191
2830,F,2,191
2099,F,1,195
2099,F,1,195
2099,F,1,195
2099,U,1,195
2131,F,U,195
2148,O,1,195
2163,F,1,195
2163,F,1,195
2170,F,1,195
2170,F,1,195
2250,F,2,195
2256,H,2,195
2259,F,1,195
2287,T,1,195
2300,O,1,195
2400,T,1,195
2444,F,1,195
2519,F,3,195
2641,F,1,195
2212,F,U,196
2448,H,2,196
2131,F,2,197
2144,H,4,197
2161,F,1,197
2250,O,1,197
2141,F,2,198
2541,F,2,198
2199,O,15,199
2199,O,3,199
2199,O,U,199
2117,O,2,200
2130,O,1,200
2142,H,1,200
2147,F,U,200
2190,F,1,200
2250,O,1,200
2250,U,1,200
2287,H,4,200
2299,H,1,200
2299,H,1,200
2299,H,1,200
2299,O,1,200
2304,F,1,200
2307,H,U,200
2323,H,1,200
2325,H,1,200
2340,O,2,200
2350,H,1,200
2350,O,1,200
2355,H,2,200
2360,F,1,200
2365,F,2,200
2370,F,2,200
2370,H,3,200
2372,F,1,200
2372,F,1,200
2382,O,1,200
2390,F,1,200
2400,F,1,200
2400,F,1,200
2430,U,1,200
2440,F,1,200
2440,H,1,200
2440,H,1,200
2448,F,2,200
2473,F,2,200
2480,H,1,200
2527,F,1,200
2541,H,1,200
2557,H,0,200
2557,O,U,200
2590,F,2,200
2640,F,1,200
2640,F,1,200
2641,F,2,200
2700,F,2,200
2785,F,1,200
2790,F,1,200
2794,F,2,200
2799,F,1,200
2800,H,1,200
2800,H,4,200
2820,F,2,200
2835,H,3,200
2850,H,2,200
2880,H,2,200
2147,F,U,201
2455,F,1,201
2137,F,1,202
2141,F,1,202
2141,F,1,202
2141,U,U,202
2142,F,2,202
2142,F,U,202
2142,F,U,202
2147,F,U,202
2166,T,1,202
2170,U,1,202
2212,F,U,202
2250,F,2,202
2280,F,1,202
2340,F,1,202
2444,F,1,202
2446,H,3,202
2450,F,1,202
2577,H,2,202
2680,F,2,202
2747,F,U,202
2750,F,1,202
2800,F,1,202
2835,H,4,202
2835,H,4,202
2443,F,1,203
2443,F,1,203
2880,F,1,204
2121,H,1,205
2299,O,1,205
2303,H,1,205
2333,F,1,205
2333,F,1,205
2333,F,1,205
2582,H,3,206
2099,F,1,207
2444,F,1,207
2444,F,U,207
2127,F,1,208
2153,F,1,210
2170,O,3,210
2203,F,1,210
2211,F,1,210
2216,O,1,210
2228,F,1,210
2250,F,2,210
2250,F,2,210
2283,F,1,210
2287,F,1,210
2287,F,1,210
2287,F,1,210
2298,H,1,210
2299,H,1,210
2303,H,1,210
2315,O,U,210
2340,F,1,210
2340,F,1,210
2400,F,1,210
2463,O,U,210
2474,F,1,210
2474,H,1,210
2500,H,3,210
2560,H,3,210
2586,F,2,210
2747,F,1,210
2750,F,1,210
2750,F,1,210
2830,F,2,210
2830,H,1,210
2832,F,1,210
2880,T,2,210
2800,H,2,212
2299,H,1,215
2299,O,1,215
2337,F,1,215
2340,F,1,215
2666,F,1,215
2722,H,1,215
2870,F,2,215
2011,F,1,217
2147,F,1,218
2485,F,U,218
2049,U,2,219
2440,H,2,219
2037,F,1,220
2077,F,U,220
2144,H,2,220
2148,O,1,220
2166,H,1,220
2206,O,1,220
2250,O,1,220
2287,H,1,220
2297,H,1,220
2297,O,1,220
2298,H,1,220
2298,H,1,220
2298,O,1,220
2299,O,1,220
2300,F,1,220
2304,O,1,220
2307,H,1,220
2322,H,1,220
2350,F,1,220
2365,F,1,220
2372,F,2,220
2400,F,1,220
2430,F,1,220
2430,U,1,220
2480,H,1,220
